# H-H RDF for MACE
# r g(r)
9.1166666667 0.9926612921
9.1500000000 0.9939865801
9.1833333333 0.9927845737
9.2166666667 0.9937925196
9.2500000000 0.9939703687
9.2833333333 0.9952962641
9.3166666667 0.9939721378
9.3500000000 0.9965057879
9.3833333333 0.9942382020
9.4166666667 0.9973463109
9.4500000000 0.9959395137
9.4833333333 0.9979901136
9.5166666667 0.9967271707
9.5500000000 0.9981989390
9.5833333333 0.9998592351
9.6166666667 0.9989967083
9.6500000000 0.9988621819
9.6833333333 1.0000226407
9.7166666667 0.9994832037
9.7500000000 1.0013010354
9.7833333333 1.0021207658
9.8166666667 1.0005201268
9.8500000000 1.0026689889
9.8833333333 1.0023103690
9.9166666667 1.0026630624
9.9500000000 1.0034683309
9.9833333333 1.0029518113
